127.0.0.1 - - [08/Feb/2018:12:31:43 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:32:45 +0530] "GET /GossipBackEnd/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:33:47 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:34:12 +0530] "GET /GossipFrontEnd/ HTTP/1.1" 200 3425
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:34:14 +0530] "GET /GossipFrontEnd/App.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:34:14 +0530] "GET /GossipFrontEnd/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:34:14 +0530] "GET /GossipFrontEnd/ForumController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:34:14 +0530] "GET /GossipFrontEnd/ProfileController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:34:14 +0530] "GET /GossipFrontEnd/FriendsController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:34:14 +0530] "GET /GossipFrontEnd/RegisterController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:34:17 +0530] "GET /GossipFrontEnd/Friends.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:34:26 +0530] "GET /GossipFrontEnd/%7B%7Bx.profilePicUrl%7D%7D HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:34:46 +0530] "GET /GossipBackEnd/fetchAllFriends HTTP/1.1" 200 909
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:34:46 +0530] "GET /GossipFrontEnd/images/blank.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:34:46 +0530] "GET /GossipFrontEnd/images/blank1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:45:35 +0530] "GET /GossipFrontEnd/ HTTP/1.1" 200 3425
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:45:57 +0530] "GET /GossipFrontEnd/%7B%7Bx.profilePicUrl%7D%7D HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:46:23 +0530] "GET /GossipBackEnd/fetchAllFriends HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:47:23 +0530] "GET /GossipFrontEnd/ HTTP/1.1" 200 3425
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:47:25 +0530] "GET /GossipFrontEnd/%7B%7Bx.profilePicUrl%7D%7D HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:48:50 +0530] "GET /GossipBackEnd/fetchAllFriends HTTP/1.1" 200 909
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:48:51 +0530] "GET /GossipFrontEnd/ HTTP/1.1" 200 3425
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:48:52 +0530] "GET /GossipFrontEnd/%7B%7Bx.profilePicUrl%7D%7D HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:48:53 +0530] "GET /GossipBackEnd/fetchAllFriends HTTP/1.1" 200 909
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:49:31 +0530] "POST /GossipBackEnd/addFriend HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:49:33 +0530] "GET /GossipBackEnd/fetchAllFriends HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:50:16 +0530] "POST /GossipBackEnd/acceptFriend HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [08/Feb/2018:12:50:17 +0530] "GET /GossipBackEnd/fetchAllFriends HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:00:17 +0530] "GET /GossipFrontEnd/Friends.html HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:00:17 +0530] "GET /GossipFrontEnd/Friends.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:00:27 +0530] "GET /GossipFrontEnd/FriendsController.js HTTP/1.1" 200 4196
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:00:27 +0530] "GET /GossipFrontEnd/FriendsController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:00:27 +0530] "GET /GossipFrontEnd/FriendsController.js HTTP/1.1" 200 4196
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:00:41 +0530] "GET /GossipFrontEnd/RestControl.java HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:00:42 +0530] "GET /GossipFrontEnd/RestControl.java HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:00:43 +0530] "GET /GossipFrontEnd/RestControl.java HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:00:43 +0530] "GET /GossipFrontEnd/RestControl.java HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:00:43 +0530] "GET /GossipFrontEnd/RestControl.java HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:01:23 +0530] "GET /GossipFrontEnd/ HTTP/1.1" 200 3425
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:01:24 +0530] "GET /GossipFrontEnd/FriendsController.js HTTP/1.1" 304 -
